ID,exp,chestID,UnlockRequest,UnlockValue,UnlockFun1,Fun1Title,Fun1Desc,UnlockFun2,Fun2Title,Fun2Desc,UnlockFun3,Fun3Title,Fun3Desc,UnlockSkill,UnlockSkillTitle,UnlockSkillDesc,FullDes,LvUpDesc,reward_type1,reward_id1,reward_num1,reward_type2,reward_id2,reward_num2
number,number,number,number,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,number,number,string,number,number
ID,exp,chestID,UnlockRequest,UnlockValue,UnlockFun1,Fun1Title,Fun1Desc,UnlockFun2,Fun2Title,Fun2Desc,UnlockFun3,Fun3Title,Fun3Desc,UnlockSkill,UnlockSkillTitle,UnlockSkillDesc,FullDes,LvUpDesc,reward_type1,reward_id1,reward_num1,reward_type2,reward_id2,reward_num2
1,44,38,1,1|2,Adventure,Unlock level test,Complete rank exams to unlock new skills,,,,,,,1|2|3,Sputter Attack!,You think backrow is safe?,Finish Section exam 1,Level Up! Congratulations!,resource,400001,1,resource,500001,20
2,77,39,1,3|4,Ladder,Unlock Ladder Tournament,Battle players from around the world！,DailyPVE,"Unlock ""ShuChao""",Each  daysjoin the gerbil tide，earn gold and upgrade scrolls,Monslot5,Unlock the fifth card slot,You can now put 5 monster cards in your deck,4|5|6,Sputter Attack!,You think backrow is safe?,Play 1 ladder match,Level Up! Congratulations!,resource,400001,1,,,
3,110,40,2,1,,,,,,,,,,7|8|9,Sputter Attack!,You think backrow is safe?,Win 1 ladder match,,,,,,,
4,132,41,1,5|6,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank3 exam,,,,,,,
5,195,42,1,7|8,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank4 exam,,,,,,,
6,260,43,1,9|10,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank5 exam,,,,,,,
7,390,44,1,11|12,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank6 exam,,,,,,,
8,455,45,1,13|14,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank7 exam,,,,,,,
9,520,46,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
10,520,47,1,15|16,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank8 exam,,,,,,,
11,520,48,1,17|18,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank9 exam,,,,,,,
12,520,49,1,19|20,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank10 exam,,,,,,,
13,520,50,1,21|22,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank11 exam,,,,,,,
14,520,51,1,23|24|25,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Complete rank12 exam,,,,,,,
15,520,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
16,585,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
17,585,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
18,585,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
19,585,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
20,585,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
21,650,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
22,650,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
23,650,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
24,650,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
25,650,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
26,715,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
27,715,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
28,715,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
29,715,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
30,715,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
31,780,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
32,780,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
33,780,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
34,780,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
35,780,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
36,910,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
37,910,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
38,910,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
39,910,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
40,910,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
41,1105,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
42,1105,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
43,1105,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
44,1105,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
45,1105,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
46,1300,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
47,1300,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
48,1300,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
49,1300,51,2,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Enter 1 ladder matches days ladder,,,,,,,
50,0,51,3,1,,,,,,,,,,,Cleave！,You thought the back row was safe?？,Win 1 ladder matches days ladder,,,,,,,
